# Logfile created on 2026-03-09 18:51:43 +0100 by logger.rb/v1.5.3
2026-03-09 18:51:43 +0100: Memory Usage (426272K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/ttihp26a-adex-neuron-ncs/gds/TOP_v2.klay.gds
2026-03-09 18:51:43 +0100: Memory Usage (426272K) : Ruby Version for klayout: 3.2.3
2026-03-09 18:51:43 +0100: Memory Usage (427204K) : Loading database to memory is complete.
2026-03-09 18:51:43 +0100: Memory Usage (427204K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/ttihp26a-adex-neuron-ncs/gds/drc_run_TOP/TOP_v2.klay_TOP_main.lyrdb
2026-03-09 18:51:43 +0100: Memory Usage (427204K) : Evaluate switches.
2026-03-09 18:51:43 +0100: Memory Usage (427204K) : tables selected: main
2026-03-09 18:51:43 +0100: Memory Usage (427204K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-09 18:51:43 +0100: Memory Usage (427204K) : deep mode is enabled.
2026-03-09 18:51:43 +0100: Memory Usage (427204K) : FEOL enabled: true
2026-03-09 18:51:43 +0100: Memory Usage (427204K) : BEOL enabled: true
2026-03-09 18:51:43 +0100: Memory Usage (427204K) : OFFGRID enabled: true
2026-03-09 18:51:43 +0100: Memory Usage (427204K) : PIN enabled: true
2026-03-09 18:51:43 +0100: Memory Usage (427204K) : FORBIDDEN enabled: true
2026-03-09 18:51:43 +0100: Memory Usage (427204K) : RECOMMENDED enabled: true
2026-03-09 18:51:43 +0100: Memory Usage (427204K) : PreCheck DRC enabled: false
2026-03-09 18:51:43 +0100: Memory Usage (427204K) : CONNECTIVITY_RULES enabled: true.
2026-03-09 18:51:43 +0100: Memory Usage (427204K) : Read in polygons from layers.
2026-03-09 18:51:43 +0100: Memory Usage (428412K) : activ_drw has 12 polygons
2026-03-09 18:51:43 +0100: Memory Usage (428412K) : activ_pin has 0 polygons
2026-03-09 18:51:43 +0100: Memory Usage (428412K) : activ_mask has 0 polygons
2026-03-09 18:51:43 +0100: Memory Usage (428412K) : activ_filler has 0 polygons
2026-03-09 18:51:43 +0100: Memory Usage (428412K) : activ_nofill has 0 polygons
2026-03-09 18:51:43 +0100: Memory Usage (428412K) : activ_opc has 0 polygons
2026-03-09 18:51:43 +0100: Memory Usage (428412K) : activ_iopc has 0 polygons
2026-03-09 18:51:43 +0100: Memory Usage (428412K) : activ_noqrc has 0 polygons
2026-03-09 18:51:43 +0100: Memory Usage (428412K) : biwind_drw has 0 polygons
2026-03-09 18:51:43 +0100: Memory Usage (428412K) : biwind_opc has 0 polygons
2026-03-09 18:51:43 +0100: Memory Usage (428412K) : pemwind_drw has 0 polygons
2026-03-09 18:51:43 +0100: Memory Usage (428540K) : gatpoly_drw has 8 polygons
2026-03-09 18:51:43 +0100: Memory Usage (428540K) : gatpoly_pin has 4 polygons
2026-03-09 18:51:43 +0100: Memory Usage (428540K) : gatpoly_filler has 0 polygons
2026-03-09 18:51:43 +0100: Memory Usage (428540K) : gatpoly_nofill has 0 polygons
2026-03-09 18:51:43 +0100: Memory Usage (428540K) : gatpoly_opc has 0 polygons
2026-03-09 18:51:43 +0100: Memory Usage (428540K) : gatpoly_iopc has 0 polygons
2026-03-09 18:51:43 +0100: Memory Usage (428540K) : gatpoly_noqrc has 0 polygons
2026-03-09 18:51:43 +0100: Memory Usage (428540K) : cont_drw has 24 polygons
2026-03-09 18:51:43 +0100: Memory Usage (428540K) : cont_opc has 0 polygons
2026-03-09 18:51:43 +0100: Memory Usage (428540K) : nsd_drw has 0 polygons
2026-03-09 18:51:43 +0100: Memory Usage (428540K) : nsd_block has 0 polygons
2026-03-09 18:51:43 +0100: Memory Usage (428668K) : metal1_drw has 23 polygons
2026-03-09 18:51:43 +0100: Memory Usage (428668K) : metal1_pin has 10 polygons
2026-03-09 18:51:43 +0100: Memory Usage (428668K) : metal1_mask has 0 polygons
2026-03-09 18:51:43 +0100: Memory Usage (428668K) : metal1_filler has 0 polygons
2026-03-09 18:51:43 +0100: Memory Usage (428668K) : metal1_nofill has 0 polygons
2026-03-09 18:51:43 +0100: Memory Usage (428796K) : metal1_slit has 0 polygons
2026-03-09 18:51:43 +0100: Memory Usage (429284K) : metal1_text has 6 polygons
