# Logfile created on 2026-03-13 00:13:49 +0100 by logger.rb/v1.5.3
2026-03-13 00:13:49 +0100: Memory Usage (426288K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/ttihp26a-adex-neuron-ncs/gds/TOP_neuron.klay.gds
2026-03-13 00:13:49 +0100: Memory Usage (426288K) : Ruby Version for klayout: 3.2.3
2026-03-13 00:13:49 +0100: Memory Usage (427480K) : Loading database to memory is complete.
2026-03-13 00:13:49 +0100: Memory Usage (427480K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/ttihp26a-adex-neuron-ncs/klayout/drc_run_TOP/TOP_neuron.klay_TOP_main.lyrdb
2026-03-13 00:13:49 +0100: Memory Usage (427480K) : Evaluate switches.
2026-03-13 00:13:49 +0100: Memory Usage (427480K) : tables selected: main
2026-03-13 00:13:49 +0100: Memory Usage (427480K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-13 00:13:49 +0100: Memory Usage (427480K) : deep mode is enabled.
2026-03-13 00:13:49 +0100: Memory Usage (427480K) : FEOL enabled: true
2026-03-13 00:13:49 +0100: Memory Usage (427480K) : BEOL enabled: true
2026-03-13 00:13:49 +0100: Memory Usage (427480K) : OFFGRID enabled: true
2026-03-13 00:13:49 +0100: Memory Usage (427480K) : PIN enabled: true
2026-03-13 00:13:49 +0100: Memory Usage (427480K) : FORBIDDEN enabled: true
2026-03-13 00:13:49 +0100: Memory Usage (427480K) : RECOMMENDED enabled: true
2026-03-13 00:13:49 +0100: Memory Usage (427480K) : PreCheck DRC enabled: false
2026-03-13 00:13:49 +0100: Memory Usage (427480K) : CONNECTIVITY_RULES enabled: true.
2026-03-13 00:13:49 +0100: Memory Usage (427480K) : Read in polygons from layers.
2026-03-13 00:13:49 +0100: Memory Usage (428876K) : activ_drw has 140 polygons
2026-03-13 00:13:49 +0100: Memory Usage (428876K) : activ_pin has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (428876K) : activ_mask has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (428876K) : activ_filler has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (428876K) : activ_nofill has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (428876K) : activ_opc has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (428876K) : activ_iopc has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (428876K) : activ_noqrc has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (428876K) : biwind_drw has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (428876K) : biwind_opc has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (428876K) : pemwind_drw has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (428876K) : gatpoly_drw has 110 polygons
2026-03-13 00:13:49 +0100: Memory Usage (428876K) : gatpoly_pin has 32 polygons
2026-03-13 00:13:49 +0100: Memory Usage (428876K) : gatpoly_filler has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (428876K) : gatpoly_nofill has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (428876K) : gatpoly_opc has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (428876K) : gatpoly_iopc has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (428876K) : gatpoly_noqrc has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (429056K) : cont_drw has 938 polygons
2026-03-13 00:13:49 +0100: Memory Usage (429056K) : cont_opc has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (429056K) : nsd_drw has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (429056K) : nsd_block has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (429184K) : metal1_drw has 339 polygons
2026-03-13 00:13:49 +0100: Memory Usage (429184K) : metal1_pin has 74 polygons
2026-03-13 00:13:49 +0100: Memory Usage (429440K) : metal1_mask has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (429440K) : metal1_filler has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (429440K) : metal1_nofill has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (429440K) : metal1_slit has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (429868K) : metal1_text has 4 polygons
2026-03-13 00:13:49 +0100: Memory Usage (429868K) : metal1_opc has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (429868K) : metal1_noqrc has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (429996K) : metal1_res has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (429996K) : metal1_iprobe has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (430124K) : metal1_diffprb has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (430124K) : passiv_drw has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (430124K) : passiv_pin has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (430252K) : passiv_sbump has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (430252K) : passiv_pillar has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (430380K) : passiv_pdl has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (430380K) : metal2_drw has 154 polygons
2026-03-13 00:13:49 +0100: Memory Usage (430508K) : metal2_pin has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (430508K) : metal2_mask has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (430636K) : metal2_filler has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (430636K) : metal2_nofill has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (430636K) : metal2_slit has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (430764K) : metal2_text has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (430764K) : metal2_opc has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (430892K) : metal2_noqrc has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (431020K) : metal2_res has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (431020K) : metal2_iprobe has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (431020K) : metal2_diffprb has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (431148K) : baspoly_drw has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (431148K) : baspoly_pin has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (431276K) : psd_drw has 25 polygons
2026-03-13 00:13:49 +0100: Memory Usage (431276K) : nldb_drw has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (431276K) : digibnd_drw has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (431404K) : via1_drw has 153 polygons
2026-03-13 00:13:49 +0100: Memory Usage (431404K) : backmetal1_drw has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (431532K) : backmetal1_pin has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (431532K) : backmetal1_mask has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (431660K) : backmetal1_filler has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (431660K) : backmetal1_nofill has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (431788K) : backmetal1_slit has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (431788K) : backmetal1_text has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (431788K) : backmetal1_opc has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (431916K) : backmetal1_noqrc has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (431916K) : backmetal1_res has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (432044K) : backmetal1_iprobe has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (432044K) : backmetal1_diffprb has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (432172K) : backpassiv_drw has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (432172K) : res_drw has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (432172K) : sram_drw has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (432300K) : trans_drw has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (432300K) : ind_drw has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (432428K) : ind_pin has 0 polygons
2026-03-13 00:13:49 +0100: Memory Usage (432556K) : ind_text has 0 polygons
