# Logfile created on 2026-03-12 23:11:35 +0100 by logger.rb/v1.5.3
2026-03-12 23:11:35 +0100: Memory Usage (426264K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/ttihp26a-adex-neuron-ncs/gds/TOP_v2.klay.gds
2026-03-12 23:11:35 +0100: Memory Usage (426264K) : Ruby Version for klayout: 3.2.3
2026-03-12 23:11:35 +0100: Memory Usage (427136K) : Loading database to memory is complete.
2026-03-12 23:11:35 +0100: Memory Usage (427136K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/ttihp26a-adex-neuron-ncs/klayout/drc_run_TOP/TOP_v2.klay_TOP_main.lyrdb
2026-03-12 23:11:35 +0100: Memory Usage (427324K) : Evaluate switches.
2026-03-12 23:11:35 +0100: Memory Usage (427324K) : tables selected: main
2026-03-12 23:11:35 +0100: Memory Usage (427324K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-12 23:11:35 +0100: Memory Usage (427324K) : deep mode is enabled.
2026-03-12 23:11:35 +0100: Memory Usage (427324K) : FEOL enabled: true
2026-03-12 23:11:35 +0100: Memory Usage (427324K) : BEOL enabled: true
2026-03-12 23:11:35 +0100: Memory Usage (427324K) : OFFGRID enabled: true
2026-03-12 23:11:35 +0100: Memory Usage (427324K) : PIN enabled: true
2026-03-12 23:11:35 +0100: Memory Usage (427324K) : FORBIDDEN enabled: true
2026-03-12 23:11:35 +0100: Memory Usage (427324K) : RECOMMENDED enabled: true
2026-03-12 23:11:35 +0100: Memory Usage (427324K) : PreCheck DRC enabled: false
2026-03-12 23:11:35 +0100: Memory Usage (427324K) : CONNECTIVITY_RULES enabled: true.
2026-03-12 23:11:35 +0100: Memory Usage (427324K) : Read in polygons from layers.
2026-03-12 23:11:35 +0100: Memory Usage (428468K) : activ_drw has 6 polygons
2026-03-12 23:11:35 +0100: Memory Usage (428468K) : activ_pin has 0 polygons
2026-03-12 23:11:35 +0100: Memory Usage (428468K) : activ_mask has 0 polygons
2026-03-12 23:11:35 +0100: Memory Usage (428468K) : activ_filler has 0 polygons
2026-03-12 23:11:35 +0100: Memory Usage (428468K) : activ_nofill has 0 polygons
2026-03-12 23:11:35 +0100: Memory Usage (428468K) : activ_opc has 0 polygons
2026-03-12 23:11:35 +0100: Memory Usage (428468K) : activ_iopc has 0 polygons
2026-03-12 23:11:35 +0100: Memory Usage (428468K) : activ_noqrc has 0 polygons
2026-03-12 23:11:35 +0100: Memory Usage (428468K) : biwind_drw has 0 polygons
2026-03-12 23:11:35 +0100: Memory Usage (428468K) : biwind_opc has 0 polygons
2026-03-12 23:11:35 +0100: Memory Usage (428468K) : pemwind_drw has 0 polygons
2026-03-12 23:11:35 +0100: Memory Usage (428468K) : gatpoly_drw has 4 polygons
2026-03-12 23:11:35 +0100: Memory Usage (428468K) : gatpoly_pin has 2 polygons
2026-03-12 23:11:35 +0100: Memory Usage (428468K) : gatpoly_filler has 0 polygons
2026-03-12 23:11:35 +0100: Memory Usage (428468K) : gatpoly_nofill has 0 polygons
2026-03-12 23:11:35 +0100: Memory Usage (428468K) : gatpoly_opc has 0 polygons
2026-03-12 23:11:35 +0100: Memory Usage (428468K) : gatpoly_iopc has 0 polygons
2026-03-12 23:11:35 +0100: Memory Usage (428468K) : gatpoly_noqrc has 0 polygons
2026-03-12 23:11:35 +0100: Memory Usage (428468K) : cont_drw has 45 polygons
2026-03-12 23:11:35 +0100: Memory Usage (428468K) : cont_opc has 0 polygons
2026-03-12 23:11:35 +0100: Memory Usage (428468K) : nsd_drw has 0 polygons
2026-03-12 23:11:35 +0100: Memory Usage (428468K) : nsd_block has 0 polygons
2026-03-12 23:11:35 +0100: Memory Usage (428468K) : metal1_drw has 11 polygons
2026-03-12 23:11:35 +0100: Memory Usage (428468K) : metal1_pin has 6 polygons
