# Logfile created on 2026-03-13 19:27:33 +0100 by logger.rb/v1.5.3
2026-03-13 19:27:33 +0100: Memory Usage (426264K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/ttihp26a-adex-neuron-ncs/gds/TOP_neuron.klay.gds
2026-03-13 19:27:33 +0100: Memory Usage (426264K) : Ruby Version for klayout: 3.2.3
2026-03-13 19:27:33 +0100: Memory Usage (427392K) : Loading database to memory is complete.
2026-03-13 19:27:33 +0100: Memory Usage (427392K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/ttihp26a-adex-neuron-ncs/klayout/drc_run_inv/TOP_neuron.klay_inv_main.lyrdb
2026-03-13 19:27:33 +0100: Memory Usage (427392K) : Evaluate switches.
2026-03-13 19:27:33 +0100: Memory Usage (427392K) : tables selected: main
2026-03-13 19:27:33 +0100: Memory Usage (427392K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-13 19:27:33 +0100: Memory Usage (427392K) : deep mode is enabled.
2026-03-13 19:27:33 +0100: Memory Usage (427392K) : FEOL enabled: true
2026-03-13 19:27:33 +0100: Memory Usage (427392K) : BEOL enabled: true
2026-03-13 19:27:33 +0100: Memory Usage (427392K) : OFFGRID enabled: true
2026-03-13 19:27:33 +0100: Memory Usage (427392K) : PIN enabled: true
2026-03-13 19:27:33 +0100: Memory Usage (427392K) : FORBIDDEN enabled: true
2026-03-13 19:27:33 +0100: Memory Usage (427392K) : RECOMMENDED enabled: true
2026-03-13 19:27:33 +0100: Memory Usage (427392K) : PreCheck DRC enabled: false
2026-03-13 19:27:33 +0100: Memory Usage (427392K) : CONNECTIVITY_RULES enabled: true.
2026-03-13 19:27:33 +0100: Memory Usage (427392K) : Read in polygons from layers.
2026-03-13 19:27:33 +0100: Memory Usage (428576K) : activ_drw has 8 polygons
2026-03-13 19:27:33 +0100: Memory Usage (428576K) : activ_pin has 0 polygons
2026-03-13 19:27:33 +0100: Memory Usage (428576K) : activ_mask has 0 polygons
2026-03-13 19:27:33 +0100: Memory Usage (428576K) : activ_filler has 0 polygons
2026-03-13 19:27:33 +0100: Memory Usage (428576K) : activ_nofill has 0 polygons
2026-03-13 19:27:33 +0100: Memory Usage (428576K) : activ_opc has 0 polygons
2026-03-13 19:27:33 +0100: Memory Usage (428576K) : activ_iopc has 0 polygons
2026-03-13 19:27:33 +0100: Memory Usage (428576K) : activ_noqrc has 0 polygons
2026-03-13 19:27:33 +0100: Memory Usage (428576K) : biwind_drw has 0 polygons
2026-03-13 19:27:33 +0100: Memory Usage (428576K) : biwind_opc has 0 polygons
2026-03-13 19:27:33 +0100: Memory Usage (428576K) : pemwind_drw has 0 polygons
2026-03-13 19:27:33 +0100: Memory Usage (428576K) : gatpoly_drw has 4 polygons
2026-03-13 19:27:33 +0100: Memory Usage (428576K) : gatpoly_pin has 2 polygons
2026-03-13 19:27:33 +0100: Memory Usage (428576K) : gatpoly_filler has 0 polygons
2026-03-13 19:27:33 +0100: Memory Usage (428576K) : gatpoly_nofill has 0 polygons
2026-03-13 19:27:33 +0100: Memory Usage (428576K) : gatpoly_opc has 0 polygons
2026-03-13 19:27:33 +0100: Memory Usage (428576K) : gatpoly_iopc has 0 polygons
2026-03-13 19:27:33 +0100: Memory Usage (428576K) : gatpoly_noqrc has 0 polygons
2026-03-13 19:27:33 +0100: Memory Usage (428576K) : cont_drw has 93 polygons
2026-03-13 19:27:33 +0100: Memory Usage (428576K) : cont_opc has 0 polygons
2026-03-13 19:27:33 +0100: Memory Usage (428576K) : nsd_drw has 0 polygons
2026-03-13 19:27:33 +0100: Memory Usage (428576K) : nsd_block has 0 polygons
2026-03-13 19:27:33 +0100: Memory Usage (428576K) : metal1_drw has 14 polygons
2026-03-13 19:27:33 +0100: Memory Usage (428576K) : metal1_pin has 9 polygons
2026-03-13 19:27:33 +0100: Memory Usage (428704K) : metal1_mask has 0 polygons
2026-03-13 19:27:33 +0100: Memory Usage (428832K) : metal1_filler has 0 polygons
2026-03-13 19:27:33 +0100: Memory Usage (428832K) : metal1_nofill has 0 polygons
2026-03-13 19:27:33 +0100: Memory Usage (428832K) : metal1_slit has 0 polygons
2026-03-13 19:27:33 +0100: Memory Usage (429124K) : metal1_text has 2 polygons
2026-03-13 19:27:33 +0100: Memory Usage (429124K) : metal1_opc has 0 polygons
2026-03-13 19:27:33 +0100: Memory Usage (429252K) : metal1_noqrc has 0 polygons
2026-03-13 19:27:33 +0100: Memory Usage (429252K) : metal1_res has 0 polygons
2026-03-13 19:27:33 +0100: Memory Usage (429380K) : metal1_iprobe has 0 polygons
2026-03-13 19:27:33 +0100: Memory Usage (429380K) : metal1_diffprb has 0 polygons
