# Logfile created on 2026-03-12 17:40:15 +0100 by logger.rb/v1.5.3
2026-03-12 17:40:15 +0100: Memory Usage (426284K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/ttihp26a-adex-neuron-ncs/gds/TOP_v2.klay.gds
2026-03-12 17:40:15 +0100: Memory Usage (426284K) : Ruby Version for klayout: 3.2.3
2026-03-12 17:40:15 +0100: Memory Usage (427152K) : Loading database to memory is complete.
2026-03-12 17:40:15 +0100: Memory Usage (427152K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/ttihp26a-adex-neuron-ncs/klayout/drc_run_inv1/TOP_v2.klay_inv1_main.lyrdb
2026-03-12 17:40:15 +0100: Memory Usage (427340K) : Evaluate switches.
2026-03-12 17:40:15 +0100: Memory Usage (427340K) : tables selected: main
2026-03-12 17:40:15 +0100: Memory Usage (427340K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-12 17:40:15 +0100: Memory Usage (427340K) : deep mode is enabled.
2026-03-12 17:40:15 +0100: Memory Usage (427340K) : FEOL enabled: true
2026-03-12 17:40:15 +0100: Memory Usage (427340K) : BEOL enabled: true
2026-03-12 17:40:15 +0100: Memory Usage (427340K) : OFFGRID enabled: true
2026-03-12 17:40:15 +0100: Memory Usage (427340K) : PIN enabled: true
2026-03-12 17:40:15 +0100: Memory Usage (427340K) : FORBIDDEN enabled: true
2026-03-12 17:40:15 +0100: Memory Usage (427340K) : RECOMMENDED enabled: true
2026-03-12 17:40:15 +0100: Memory Usage (427340K) : PreCheck DRC enabled: false
2026-03-12 17:40:15 +0100: Memory Usage (427340K) : CONNECTIVITY_RULES enabled: true.
2026-03-12 17:40:15 +0100: Memory Usage (427340K) : Read in polygons from layers.
2026-03-12 17:40:15 +0100: Memory Usage (428484K) : activ_drw has 6 polygons
2026-03-12 17:40:15 +0100: Memory Usage (428484K) : activ_pin has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (428484K) : activ_mask has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (428484K) : activ_filler has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (428484K) : activ_nofill has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (428484K) : activ_opc has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (428484K) : activ_iopc has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (428484K) : activ_noqrc has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (428484K) : biwind_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (428484K) : biwind_opc has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (428484K) : pemwind_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (428484K) : gatpoly_drw has 4 polygons
2026-03-12 17:40:15 +0100: Memory Usage (428484K) : gatpoly_pin has 2 polygons
2026-03-12 17:40:15 +0100: Memory Usage (428484K) : gatpoly_filler has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (428484K) : gatpoly_nofill has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (428484K) : gatpoly_opc has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (428484K) : gatpoly_iopc has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (428484K) : gatpoly_noqrc has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (428484K) : cont_drw has 45 polygons
2026-03-12 17:40:15 +0100: Memory Usage (428484K) : cont_opc has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (428484K) : nsd_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (428484K) : nsd_block has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (428484K) : metal1_drw has 11 polygons
2026-03-12 17:40:15 +0100: Memory Usage (428484K) : metal1_pin has 6 polygons
2026-03-12 17:40:15 +0100: Memory Usage (428484K) : metal1_mask has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (428484K) : metal1_filler has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (428484K) : metal1_nofill has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (428740K) : metal1_slit has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (428912K) : metal1_text has 2 polygons
2026-03-12 17:40:15 +0100: Memory Usage (428912K) : metal1_opc has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (428912K) : metal1_noqrc has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (429040K) : metal1_res has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (429040K) : metal1_iprobe has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (429040K) : metal1_diffprb has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (429168K) : passiv_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (429168K) : passiv_pin has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (429168K) : passiv_sbump has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (429296K) : passiv_pillar has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (429296K) : passiv_pdl has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (429424K) : metal2_drw has 4 polygons
2026-03-12 17:40:15 +0100: Memory Usage (429424K) : metal2_pin has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (429552K) : metal2_mask has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (429552K) : metal2_filler has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (429552K) : metal2_nofill has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (429680K) : metal2_slit has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (429680K) : metal2_text has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (429808K) : metal2_opc has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (429808K) : metal2_noqrc has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (429936K) : metal2_res has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (429936K) : metal2_iprobe has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430064K) : metal2_diffprb has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430064K) : baspoly_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430192K) : baspoly_pin has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430192K) : psd_drw has 1 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430320K) : nldb_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430320K) : digibnd_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430320K) : via1_drw has 14 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430448K) : backmetal1_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430448K) : backmetal1_pin has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430576K) : backmetal1_mask has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430576K) : backmetal1_filler has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430704K) : backmetal1_nofill has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430704K) : backmetal1_slit has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430704K) : backmetal1_text has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430832K) : backmetal1_opc has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430832K) : backmetal1_noqrc has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430960K) : backmetal1_res has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430960K) : backmetal1_iprobe has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (431088K) : backmetal1_diffprb has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (431088K) : backpassiv_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (431088K) : res_drw has 0 polygons
