# Logfile created on 2026-03-18 22:46:57 +0100 by logger.rb/v1.5.3
2026-03-18 22:46:57 +0100: Memory Usage (426352K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/ttihp26a-adex-neuron-ncs/gds/TOP_neuron.klay.gds
2026-03-18 22:46:57 +0100: Memory Usage (426352K) : Ruby Version for klayout: 3.2.3
2026-03-18 22:46:57 +0100: Memory Usage (427744K) : Loading database to memory is complete.
2026-03-18 22:46:57 +0100: Memory Usage (427744K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/ttihp26a-adex-neuron-ncs/klayout/drc_run_neuron_noahp/TOP_neuron.klay_neuron_noahp_main.lyrdb
2026-03-18 22:46:57 +0100: Memory Usage (427744K) : Evaluate switches.
2026-03-18 22:46:57 +0100: Memory Usage (427744K) : tables selected: main
2026-03-18 22:46:57 +0100: Memory Usage (427744K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-18 22:46:57 +0100: Memory Usage (427744K) : deep mode is enabled.
2026-03-18 22:46:57 +0100: Memory Usage (427744K) : FEOL enabled: true
2026-03-18 22:46:57 +0100: Memory Usage (427744K) : BEOL enabled: true
2026-03-18 22:46:57 +0100: Memory Usage (427744K) : OFFGRID enabled: true
2026-03-18 22:46:57 +0100: Memory Usage (427744K) : PIN enabled: true
2026-03-18 22:46:57 +0100: Memory Usage (427744K) : FORBIDDEN enabled: true
2026-03-18 22:46:57 +0100: Memory Usage (427744K) : RECOMMENDED enabled: true
2026-03-18 22:46:57 +0100: Memory Usage (427744K) : PreCheck DRC enabled: false
2026-03-18 22:46:57 +0100: Memory Usage (427744K) : CONNECTIVITY_RULES enabled: true.
2026-03-18 22:46:57 +0100: Memory Usage (427744K) : Read in polygons from layers.
2026-03-18 22:46:57 +0100: Memory Usage (429076K) : activ_drw has 405 polygons
2026-03-18 22:46:57 +0100: Memory Usage (429076K) : activ_pin has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (429076K) : activ_mask has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (429076K) : activ_filler has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (429076K) : activ_nofill has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (429076K) : activ_opc has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (429076K) : activ_iopc has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (429076K) : activ_noqrc has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (429204K) : biwind_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (429204K) : biwind_opc has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (429204K) : pemwind_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (429332K) : gatpoly_drw has 372 polygons
2026-03-18 22:46:57 +0100: Memory Usage (429332K) : gatpoly_pin has 93 polygons
2026-03-18 22:46:57 +0100: Memory Usage (429332K) : gatpoly_filler has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (429332K) : gatpoly_nofill has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (429332K) : gatpoly_opc has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (429332K) : gatpoly_iopc has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (429332K) : gatpoly_noqrc has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (429332K) : cont_drw has 2892 polygons
2026-03-18 22:46:57 +0100: Memory Usage (429460K) : cont_opc has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (429460K) : nsd_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (429460K) : nsd_block has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (429776K) : metal1_drw has 1032 polygons
2026-03-18 22:46:57 +0100: Memory Usage (429904K) : metal1_pin has 198 polygons
2026-03-18 22:46:57 +0100: Memory Usage (430032K) : metal1_mask has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (430032K) : metal1_filler has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (430160K) : metal1_nofill has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (430160K) : metal1_slit has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (430348K) : metal1_text has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (430476K) : metal1_opc has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (430476K) : metal1_noqrc has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (430604K) : metal1_res has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (430604K) : metal1_iprobe has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (430732K) : metal1_diffprb has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (430732K) : passiv_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (430732K) : passiv_pin has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (430860K) : passiv_sbump has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (430860K) : passiv_pillar has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (430988K) : passiv_pdl has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (430988K) : metal2_drw has 481 polygons
2026-03-18 22:46:57 +0100: Memory Usage (431116K) : metal2_pin has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (431116K) : metal2_mask has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (431244K) : metal2_filler has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (431244K) : metal2_nofill has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (431244K) : metal2_slit has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (431372K) : metal2_text has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (431372K) : metal2_opc has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (431500K) : metal2_noqrc has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (431628K) : metal2_res has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (431628K) : metal2_iprobe has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (431628K) : metal2_diffprb has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (431756K) : baspoly_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (431756K) : baspoly_pin has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (431884K) : psd_drw has 67 polygons
2026-03-18 22:46:57 +0100: Memory Usage (431884K) : nldb_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (432012K) : digibnd_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (432012K) : via1_drw has 547 polygons
2026-03-18 22:46:57 +0100: Memory Usage (432012K) : backmetal1_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (432140K) : backmetal1_pin has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (432140K) : backmetal1_mask has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (432268K) : backmetal1_filler has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (432268K) : backmetal1_nofill has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (432396K) : backmetal1_slit has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (432396K) : backmetal1_text has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (432396K) : backmetal1_opc has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (432524K) : backmetal1_noqrc has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (432524K) : backmetal1_res has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (432652K) : backmetal1_iprobe has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (432652K) : backmetal1_diffprb has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (432780K) : backpassiv_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (432780K) : res_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (432780K) : sram_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (432908K) : trans_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (432908K) : ind_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (433036K) : ind_pin has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (433164K) : ind_text has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (433164K) : salblock_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (433292K) : via2_drw has 267 polygons
2026-03-18 22:46:57 +0100: Memory Usage (433292K) : metal3_drw has 163 polygons
2026-03-18 22:46:57 +0100: Memory Usage (433420K) : metal3_pin has 22 polygons
2026-03-18 22:46:57 +0100: Memory Usage (433420K) : metal3_mask has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (433548K) : metal3_filler has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (433548K) : metal3_nofill has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (433676K) : metal3_slit has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (433676K) : metal3_text has 22 polygons
2026-03-18 22:46:57 +0100: Memory Usage (433804K) : metal3_opc has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (433804K) : metal3_noqrc has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (433804K) : metal3_res has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (433932K) : metal3_iprobe has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (433932K) : metal3_diffprb has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (434060K) : nwell_drw has 62 polygons
2026-03-18 22:46:57 +0100: Memory Usage (434188K) : nwell_pin has 5 polygons
2026-03-18 22:46:57 +0100: Memory Usage (434188K) : nbulay_drw has 26 polygons
2026-03-18 22:46:57 +0100: Memory Usage (434316K) : nbulay_pin has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (434316K) : nbulay_block has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (434444K) : emwind_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (434444K) : emwind_opc has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (434572K) : deepco_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (434572K) : deepco_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (434700K) : mim_drw has 2 polygons
2026-03-18 22:46:57 +0100: Memory Usage (434828K) : edgeseal_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (434828K) : edgeseal_bound has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (434956K) : substrate_drw has 67 polygons
2026-03-18 22:46:57 +0100: Memory Usage (434956K) : substrate_text has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (434956K) : dfpad_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (435084K) : dfpad_pillar has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (435084K) : dfpad_sbump has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (435212K) : thickgateox_drw has 101 polygons
2026-03-18 22:46:57 +0100: Memory Usage (435212K) : pldb_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (435340K) : pwell_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (435340K) : pwell_pin has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (435340K) : pwell_block has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (435468K) : ic_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (435468K) : via3_drw has 108 polygons
2026-03-18 22:46:57 +0100: Memory Usage (435596K) : metal4_drw has 29 polygons
2026-03-18 22:46:57 +0100: Memory Usage (435724K) : metal4_pin has 2 polygons
2026-03-18 22:46:57 +0100: Memory Usage (435724K) : metal4_mask has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (435852K) : metal4_filler has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (435852K) : metal4_nofill has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (435852K) : metal4_slit has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (435980K) : metal4_text has 2 polygons
2026-03-18 22:46:57 +0100: Memory Usage (435980K) : metal4_opc has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (436108K) : metal4_noqrc has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (436108K) : metal4_res has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (436108K) : metal4_iprobe has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (436236K) : metal4_diffprb has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (436364K) : heattrans_drw has 176 polygons
2026-03-18 22:46:57 +0100: Memory Usage (436364K) : heatres_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (436492K) : pempoly_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (436492K) : fbe_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (436620K) : empoly_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (436620K) : ldmos_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (436748K) : pbiwind_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (436748K) : digisub_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (436876K) : nodrc_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (436876K) : text_drw has 105 polygons
2026-03-18 22:46:57 +0100: Memory Usage (437004K) : via4_drw has 96 polygons
2026-03-18 22:46:57 +0100: Memory Usage (437004K) : metal5_drw has 42 polygons
2026-03-18 22:46:57 +0100: Memory Usage (437132K) : metal5_pin has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (437132K) : metal5_mask has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (437132K) : metal5_filler has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (437260K) : metal5_nofill has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (437260K) : metal5_slit has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (437388K) : metal5_text has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (437388K) : metal5_opc has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (437516K) : metal5_noqrc has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (437516K) : metal5_res has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (437516K) : metal5_iprobe has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (437644K) : metal5_diffprb has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (437644K) : radhard_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (437772K) : memcap_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (437900K) : varicap_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (438028K) : flash_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (438028K) : intbondvia_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (438028K) : intbondmet_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (438156K) : devbondvia_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (438156K) : devbondmet_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (438284K) : devtrench_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (438284K) : redist_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (438412K) : graphbot_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (438412K) : graphtop_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (438540K) : antvia1_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (438540K) : antmetal2_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (438540K) : graphcont_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (438668K) : siwg_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (438668K) : siwg_filler has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (438796K) : siwg_nofill has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (438924K) : sigrating_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (438924K) : singrating_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (438924K) : graphpas_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (439052K) : emwind3_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (439052K) : emwihv3_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (439180K) : redbulay_drw has 0 polygons
2026-03-18 22:46:57 +0100: Memory Usage (439180K) : smos_drw has 0 polygons
