# Logfile created on 2026-03-12 17:51:13 +0100 by logger.rb/v1.5.3
2026-03-12 17:51:13 +0100: Memory Usage (426280K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/ttihp26a-adex-neuron-ncs/gds/TOP_v2.klay.gds
2026-03-12 17:51:13 +0100: Memory Usage (426280K) : Ruby Version for klayout: 3.2.3
2026-03-12 17:51:13 +0100: Memory Usage (427148K) : Loading database to memory is complete.
2026-03-12 17:51:13 +0100: Memory Usage (427148K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/ttihp26a-adex-neuron-ncs/klayout/drc_run_welltap/TOP_v2.klay_welltap_main.lyrdb
2026-03-12 17:51:13 +0100: Memory Usage (427336K) : Evaluate switches.
2026-03-12 17:51:13 +0100: Memory Usage (427336K) : tables selected: main
2026-03-12 17:51:13 +0100: Memory Usage (427336K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-12 17:51:13 +0100: Memory Usage (427336K) : deep mode is enabled.
2026-03-12 17:51:13 +0100: Memory Usage (427336K) : FEOL enabled: true
2026-03-12 17:51:13 +0100: Memory Usage (427336K) : BEOL enabled: true
2026-03-12 17:51:13 +0100: Memory Usage (427336K) : OFFGRID enabled: true
2026-03-12 17:51:13 +0100: Memory Usage (427336K) : PIN enabled: true
2026-03-12 17:51:13 +0100: Memory Usage (427336K) : FORBIDDEN enabled: true
2026-03-12 17:51:13 +0100: Memory Usage (427336K) : RECOMMENDED enabled: true
2026-03-12 17:51:13 +0100: Memory Usage (427336K) : PreCheck DRC enabled: false
2026-03-12 17:51:13 +0100: Memory Usage (427336K) : CONNECTIVITY_RULES enabled: true.
2026-03-12 17:51:13 +0100: Memory Usage (427336K) : Read in polygons from layers.
2026-03-12 17:51:13 +0100: Memory Usage (428480K) : activ_drw has 2 polygons
2026-03-12 17:51:13 +0100: Memory Usage (428480K) : activ_pin has 0 polygons
2026-03-12 17:51:13 +0100: Memory Usage (428480K) : activ_mask has 0 polygons
2026-03-12 17:51:13 +0100: Memory Usage (428480K) : activ_filler has 0 polygons
2026-03-12 17:51:13 +0100: Memory Usage (428480K) : activ_nofill has 0 polygons
2026-03-12 17:51:13 +0100: Memory Usage (428480K) : activ_opc has 0 polygons
2026-03-12 17:51:13 +0100: Memory Usage (428480K) : activ_iopc has 0 polygons
2026-03-12 17:51:13 +0100: Memory Usage (428480K) : activ_noqrc has 0 polygons
2026-03-12 17:51:13 +0100: Memory Usage (428480K) : biwind_drw has 0 polygons
2026-03-12 17:51:13 +0100: Memory Usage (428480K) : biwind_opc has 0 polygons
2026-03-12 17:51:13 +0100: Memory Usage (428480K) : pemwind_drw has 0 polygons
2026-03-12 17:51:13 +0100: Memory Usage (428480K) : gatpoly_drw has 0 polygons
2026-03-12 17:51:13 +0100: Memory Usage (428480K) : gatpoly_pin has 0 polygons
2026-03-12 17:51:13 +0100: Memory Usage (428480K) : gatpoly_filler has 0 polygons
2026-03-12 17:51:13 +0100: Memory Usage (428480K) : gatpoly_nofill has 0 polygons
2026-03-12 17:51:13 +0100: Memory Usage (428480K) : gatpoly_opc has 0 polygons
2026-03-12 17:51:13 +0100: Memory Usage (428480K) : gatpoly_iopc has 0 polygons
2026-03-12 17:51:13 +0100: Memory Usage (428480K) : gatpoly_noqrc has 0 polygons
2026-03-12 17:51:13 +0100: Memory Usage (428480K) : cont_drw has 28 polygons
2026-03-12 17:51:13 +0100: Memory Usage (428480K) : cont_opc has 0 polygons
2026-03-12 17:51:13 +0100: Memory Usage (428480K) : nsd_drw has 0 polygons
2026-03-12 17:51:13 +0100: Memory Usage (428480K) : nsd_block has 0 polygons
2026-03-12 17:51:13 +0100: Memory Usage (428480K) : metal1_drw has 6 polygons
2026-03-12 17:51:13 +0100: Memory Usage (428480K) : metal1_pin has 0 polygons
2026-03-12 17:51:13 +0100: Memory Usage (428480K) : metal1_mask has 0 polygons
2026-03-12 17:51:13 +0100: Memory Usage (428480K) : metal1_filler has 0 polygons
